Timestamp,UTM_EASTING,UTM_NORTHING,H:CGVD2013(m),Depth
1654142070.619445,662347.6614154141,5556386.3875319455,20.61399501705169,36.8
1654142071.627292,662352.7550733044,5556389.489684495,20.641206881523125,36.3
1654142072.635216,662357.8491216041,5556392.592074812,20.66842083168029,35.7
1654142073.643126,662362.9430988109,5556395.694421833,20.69563440203666,35.7
1654142074.635131,662367.9566914308,5556398.747812827,20.72241853356361,35.8
1654142075.642985,662373.050386675,5556401.849988126,20.749630597591395,35.5
1654142076.650935,662378.1445651114,5556404.9524577,20.77684524297714,35.8
1654142077.658854,662383.2385881068,5556408.054832607,20.804059057950973,36.1
1654142078.650549,662388.2545179564,5556411.10360352,20.815220071554183,36.5
1654142079.658264,662393.3263999516,5556414.227744814,20.896744931697846,37.0
1654142080.665943,662398.4235469336,5556417.309477541,20.96394434261322,37.3
1654142081.657753,662403.4884340286,5556420.327199028,20.974605833053587,37.8
1654142082.665409,662408.6560797325,5556423.40169675,20.904868863821026,38.0
1654142083.673164,662413.8195566528,5556426.408004413,20.87676226091385,38.2
1654142084.664837,662418.8611098846,5556429.391199529,20.907748368740084,38.2
1654142085.672595,662423.9934840344,5556432.474622013,20.92544366979599,38.8
1654142086.68042,662429.1109908716,5556435.582338157,20.911024541139604,39.1
1654142087.672217,662434.1467981684,5556438.688585773,20.890822168827054,39.3
1654142088.680033,662439.2261859406,5556441.842016193,20.90059036254883,39.4
1654142089.68783,662444.3263970738,5556444.979905759,20.911978299617765,39.4
1654142090.679643,662449.3593512857,5556448.018531721,20.929965713500977,39.5
1654142091.687504,662454.4898054292,5556451.073689097,20.91262995147705,40.4
1654142092.679323,662459.5646451103,5556454.10685632,20.90166015577316,41.2
1654142093.687131,662464.7146723585,5556457.16975865,20.88745164346695,42.3
1654142094.695052,662469.8451624563,5556460.226079987,20.858101037979125,43.2
1654142095.686762,662474.9092251784,5556463.217624482,20.876419052124024,43.9
1654142096.694541,662480.0028908417,5556466.339938472,20.905159032583235,44.2
1654142097.686399,662485.0438855104,5556469.385042302,20.917445984601976,44.6
1654142098.694218,662490.1590749306,5556472.500924749,20.9432114238739,44.9
1654142099.702058,662495.2660603859,5556475.634083854,20.929821212768555,44.8
1654142100.709654,662500.3948748341,5556478.773497595,20.871364151000975,44.2
1654142101.701558,662505.4506092338,5556481.839816756,20.849654278278354,43.8
1654142102.709514,662510.5707085631,5556484.96350043,20.86173180580139,43.9
1654142103.701219,662515.5694231439,5556488.065909946,20.920405829906464,44.3
1654142104.709049,662520.6506145259,5556491.212071834,21.009666571617124,46.0
1654142105.716868,662525.7662795547,5556494.343001569,20.950863925695423,46.4
1654142106.72469,662530.9416983812,5556497.467638943,20.817877712011335,46.5
1654142107.716374,662535.998163417,5556500.51375956,20.754234078168867,46.6
1654142108.724324,662541.1037935044,5556503.613108317,20.77791590547562,46.8
1654142109.732186,662546.164974809,5556506.78341582,20.9035701880455,46.7
1654142110.739956,662551.2493016795,5556509.933409005,21.014750308752063,46.6
1654142111.747723,662556.3508071401,5556513.1599981375,21.02998541378975,46.6
1654142112.739676,662561.3797619307,5556516.312925284,20.916011664390563,46.8
1654142113.747415,662566.4809645764,5556519.50140785,20.863722451686858,46.8
1654142114.739202,662571.4619409364,5556522.63661972,20.887456908702852,46.8
