Timestamp;Depth
2022-06-02 00:54:30.619445;36.800
2022-06-02 00:54:31.627292;36.300
2022-06-02 00:54:32.635216;35.700
2022-06-02 00:54:33.643126;35.700
2022-06-02 00:54:34.635131;35.800
2022-06-02 00:54:35.642985;35.500
2022-06-02 00:54:36.650935;35.800
2022-06-02 00:54:37.658854;36.100
2022-06-02 00:54:38.650549;36.500
2022-06-02 00:54:39.658264;37.000
2022-06-02 00:54:40.665943;37.300
2022-06-02 00:54:41.657753;37.800
2022-06-02 00:54:42.665409;38.000
2022-06-02 00:54:43.673164;38.200
2022-06-02 00:54:44.664837;38.200
2022-06-02 00:54:45.672595;38.800
2022-06-02 00:54:46.680420;39.100
2022-06-02 00:54:47.672217;39.300
2022-06-02 00:54:48.680033;39.400
2022-06-02 00:54:49.687830;39.400
2022-06-02 00:54:50.679643;39.500
2022-06-02 00:54:51.687504;40.400
2022-06-02 00:54:52.679323;41.200
2022-06-02 00:54:53.687131;42.300
2022-06-02 00:54:54.695052;43.200
2022-06-02 00:54:55.686762;43.900
2022-06-02 00:54:56.694541;44.200
2022-06-02 00:54:57.686399;44.600
2022-06-02 00:54:58.694218;44.900
2022-06-02 00:54:59.702058;44.800
2022-06-02 00:55:00.709654;44.200
2022-06-02 00:55:01.701558;43.800
2022-06-02 00:55:02.709514;43.900
2022-06-02 00:55:03.701219;44.300
2022-06-02 00:55:04.709049;46.000
2022-06-02 00:55:05.716868;46.400
2022-06-02 00:55:06.724690;46.500
2022-06-02 00:55:07.716374;46.600
2022-06-02 00:55:08.724324;46.800
2022-06-02 00:55:09.732186;46.700
2022-06-02 00:55:10.739956;46.600
2022-06-02 00:55:11.747723;46.600
2022-06-02 00:55:12.739676;46.800
2022-06-02 00:55:13.747415;46.800
2022-06-02 00:55:14.739202;46.800
2022-06-02 00:55:15.747111;46.700
2022-06-02 00:55:16.754873;46.800
2022-06-02 00:55:17.746787;46.800
2022-06-02 00:55:18.754604;46.800
2022-06-02 00:55:19.762520;46.800
2022-06-02 00:55:20.754284;46.800
2022-06-02 00:55:21.762262;46.700
2022-06-02 00:55:22.753866;46.700
2022-06-02 00:55:23.761632;46.700
