Northing,Easting,Lat (DD),Long (DD),Depth (Proc)
6768131.327,465542.791,61.0464703,-069.6380230,23.570
6768133.361,465542.991,61.0464886,-069.6380197,23.596
6768134.501,465543.831,61.0464989,-069.6380043,22.939
6768138.232,465545.402,61.0465326,-069.6379759,22.425
6768139.522,465545.366,61.0465441,-069.6379768,22.052
6768142.116,465547.653,61.0465676,-069.6379349,21.632
6768143.197,465548.793,61.0465774,-069.6379140,21.327
6768145.434,465549.712,61.0465976,-069.6378974,21.254
6768147.408,465551.511,61.0466155,-069.6378645,20.997
6768149.398,465552.313,61.0466334,-069.6378500,20.622
6768151.907,465553.535,61.0466560,-069.6378278,20.505
6768152.821,465555.354,61.0466644,-069.6377943,20.396
6768156.530,465559.868,61.0466981,-069.6377114,20.576
6768157.777,465560.929,61.0467094,-069.6376920,20.581
6768158.719,465562.529,61.0467180,-069.6376625,21.033
6768160.437,465565.668,61.0467337,-069.6376047,20.910
6768161.114,465566.903,61.0467399,-069.6375819,20.986
6768162.485,465568.337,61.0467523,-069.6375556,20.933
6768164.171,465570.207,61.0467676,-069.6375213,23.252
6768165.132,465572.429,61.0467764,-069.6374804,23.233
6768166.352,465573.623,61.0467875,-069.6374585,22.959
6768167.707,465575.465,61.0467998,-069.6374246,22.965
6768169.264,465576.721,61.0468139,-069.6374016,22.598
6768171.795,465577.733,61.0468367,-069.6373834,22.013
6768171.634,465579.795,61.0468354,-069.6373451,22.262
6768173.275,465581.059,61.0468503,-069.6373221,22.296
6768174.337,465582.793,61.0468599,-069.6372901,22.198
6768175.445,465584.369,61.0468700,-069.6372611,22.154
6768177.380,465585.514,61.0468875,-069.6372403,22.398
6768178.328,465587.127,61.0468962,-069.6372106,23.271
6768182.080,465589.137,61.0469300,-069.6371741,22.918
6768183.019,465590.378,61.0469386,-069.6371513,22.896
6768184.620,465591.873,61.0469531,-069.6371239,22.901
6768186.207,465593.395,61.0469674,-069.6370960,22.682
6768187.671,465594.468,61.0469807,-069.6370764,22.641
6768189.669,465595.669,61.0469987,-069.6370545,22.846
6768194.945,465598.497,61.0470463,-069.6370031,22.760
6768196.461,465599.554,61.0470600,-069.6369838,22.860
6768198.300,465600.089,61.0470766,-069.6369742,22.655
6768199.781,465601.369,61.0470900,-069.6369508,22.943
6768202.391,465602.737,61.0471135,-069.6369259,22.892
6768204.115,465602.667,61.0471290,-069.6369275,22.955
6768205.943,465603.629,61.0471455,-069.6369100,22.727
